Strain_a,Strain_b,Similarity*
A/H3N2/Hong Kong/45/2019,A/H3N2/Hong Kong/2671/2019,0
A/H3N2/Hong Kong/45/2019,A/Kansas/14/2017,0
A/H3N2/Hong Kong/45/2019,A/Singapore/INFIMH-16-0019/2016,0
A/H3N2/Hong Kong/45/2019,A/Hong Kong/4801/2014,1
A/H3N2/Hong Kong/45/2019,A/Switzerland/9715293/2013,1
A/H3N2/Hong Kong/2671/2019,A/Kansas/14/2017,0
A/H3N2/Hong Kong/2671/2019,A/Singapore/INFIMH-16-0019/2016,0
A/H3N2/Hong Kong/2671/2019,A/Hong Kong/4801/2014,0
A/H3N2/Hong Kong/2671/2019,A/Switzerland/9715293/2013,1
A/Kansas/14/2017,A/Singapore/INFIMH-16-0019/2016,0
A/Kansas/14/2017,A/Hong Kong/4801/2014,1
A/Kansas/14/2017,A/Switzerland/9715293/2013,1
A/Singapore/INFIMH-16-0019/2016,A/Hong Kong/4801/2014,1
A/Singapore/INFIMH-16-0019/2016,A/Switzerland/9715293/2013,1
A/Hong Kong/4801/2014,A/Switzerland/9715293/2013,0
A/Wuhan/359/1995,A/Sydney/5/1997,0
A/Wuhan/359/1995,A/Panama/2007/1999,0
A/Wuhan/359/1995,A/Moscow/10/1999,0
A/Wuhan/359/1995,A/Wyoming/3/2003,0
A/Wuhan/359/1995,A/New York/55/2004,1
A/Wuhan/359/1995,A/Wisconsin/67/2005,1
A/Wuhan/359/1995,A/Uruguay/716/2007,1
A/Sydney/5/1997,A/Panama/2007/1999,0
A/Sydney/5/1997,A/Moscow/10/1999,0
A/Sydney/5/1997,A/Wyoming/3/2003,0
A/Sydney/5/1997,A/New York/55/2004,1
A/Sydney/5/1997,A/Wisconsin/67/2005,1
A/Sydney/5/1997,A/Uruguay/716/2007,1
A/Panama/2007/1999,A/Moscow/10/1999,0
A/Panama/2007/1999,A/Wyoming/3/2003,1
A/Panama/2007/1999,A/New York/55/2004,1
A/Panama/2007/1999,A/Wisconsin/67/2005,1
A/Panama/2007/1999,A/Uruguay/716/2007,1
A/Moscow/10/1999,A/Wyoming/3/2003,0
A/Moscow/10/1999,A/New York/55/2004,1
A/Moscow/10/1999,A/Wisconsin/67/2005,1
A/Moscow/10/1999,A/Uruguay/716/2007,1
A/Wyoming/3/2003,A/New York/55/2004,1
A/Wyoming/3/2003,A/Wisconsin/67/2005,1
A/Wyoming/3/2003,A/Uruguay/716/2007,1
A/New York/55/2004,A/Wisconsin/67/2005,0
A/New York/55/2004,A/Uruguay/716/2007,0
A/Wisconsin/67/2005,A/Uruguay/716/2007,0
A/Aichi/2/68,A/Philippines/2/82,0
A/Aichi/2/68,A/Victoria/3/75,1
A/Aichi/2/68,A/Shanghai/11/87,1
A/Philippines/2/82,A/Victoria/3/75,0
A/Philippines/2/82,A/Shanghai/11/87,0
A/Victoria/3/75,A/Shanghai/11/87,0
A/Hong_Kong/1/68,A/England/42/72,0
A/Hong_Kong/1/68,A/Port Chalmers/1/1973,1
A/England/42/72,A/Port Chalmers/1/1973,1
A/Switzerland/9715293/2013,A/Hong_Kong/4801/2014,0
A/Switzerland/9715293/2013,A/Texas/50/2012,0
A/Switzerland/9715293/2013,A/Victoria/361/2011(Ivr-165),0
A/Switzerland/9715293/2013,A/Newcastle/67/2016,0
A/Switzerland/9715293/2013,A/Estonia/91621/2015,0
A/Switzerland/9715293/2013,A/Utah/11/2011,0
A/Switzerland/9715293/2013,A/Gambia/G0071436/2012,0
A/Switzerland/9715293/2013,A/Hanoi/Eli15597/2015,0
A/Switzerland/9715293/2013,A/Heilongjiang-Xiangyang/1134/2011,0
